Term,Translation,Context
average,promedio,Physics > Electro-magnetism
average,media; promedio,Technological Sciences > Environmental technology and engineering
cell,pila; pila electroquímica; pila galvánica,Physics > Electro-magnetism
cell,celda; celda unidad,Technological Sciences > Environmental technology and engineering
charge,carga; carga eléctrica,Physics > Electro-magnetism
charge,carga,Technological Sciences > Environmental technology and engineering
cover,recubrimiento,Physics > Electro-magnetism
cover,recubrimiento; revestimiento,Technological Sciences > Environmental technology and engineering
efficiency,eficiencia,Physics > Electro-magnetism
efficiency,eficiencia; rendimiento,Technological Sciences > Environmental technology and engineering
emitter,emisor,Physics > Electro-magnetism
emitter,emisor; fuente,Technological Sciences > Environmental technology and engineering
flow,caudal,Physics > Electro-magnetism
flow,caudal; flujo; gasto,Technological Sciences > Environmental technology and engineering
focus,foco; punto focal,Physics > Electro-magnetism
focus,foco; hipocentro,Technological Sciences > Environmental technology and engineering
friction force,fuerza de fricción,Physics > Electro-magnetism
friction force,fuerza de fricción; fuerza de rozamiento; fuerzas de rozamiento,Technological Sciences > Environmental technology and engineering
momentum,cantidad de movimento lineal; cantidad de movimiento; momento lineal,Physics > Electro-magnetism
momentum,cantidad de movimiento; momento lineal; momentum,Technological Sciences > Environmental technology and engineering
phase,fase,Physics > Electro-magnetism
phase,agitador rotatorio; fase,Technological Sciences > Environmental technology and engineering
phase shift,corrimiento de fase; desplazamiento de fase; desfase,Physics > Electro-magnetism
phase shift,desfase; diferencia de fase,Technological Sciences > Environmental technology and engineering
plate,chapa; lámina,Physics > Electro-magnetism
plate,placa,Technological Sciences > Environmental technology and engineering
process,proceso,Physics > Electro-magnetism
process,procesar; proceso,Technological Sciences > Environmental technology and engineering
proof,evidencia; prueba; demostración,Physics > Electro-magnetism
proof,evidencia; prueba,Technological Sciences > Environmental technology and engineering
sample,muestrear,Physics > Electro-magnetism
sample,muestra,Technological Sciences > Environmental technology and engineering
sequence,progresión; sucesión,Physics > Electro-magnetism
sequence,secuencia,Technological Sciences > Environmental technology and engineering
sheet,chapa; lámina,Physics > Electro-magnetism
sheet,lámina; plancha,Technological Sciences > Environmental technology and engineering
shell,cascarón,Physics > Electro-magnetism
shell,concha,Technological Sciences > Environmental technology and engineering
side,lado,Physics > Electro-magnetism
side,falda; ladera,Technological Sciences > Environmental technology and engineering
sound,sonido,Physics > Electro-magnetism
sound,sonda; sonido,Technological Sciences > Environmental technology and engineering
source,fuente,Physics > Electro-magnetism
source,emisor; fuente,Technological Sciences > Environmental technology and engineering
steady state,estado permanente; régimen permanente,Physics > Electro-magnetism
steady state,estado estacionario; situación estable,Technological Sciences > Environmental technology and engineering
surface area,área de una superficie; superficie,Physics > Electro-magnetism
surface area,área superficial,Technological Sciences > Environmental technology and engineering
surface wave,onda de superficie,Physics > Electro-magnetism
surface wave,onda superficial,Technological Sciences > Environmental technology and engineering
wave,onda,Physics > Electro-magnetism
wave,ola; onda,Technological Sciences > Environmental technology and engineering
X-ray,rayo X; rayos Roentgen; rayos X,Physics > Electro-magnetism
X-ray,rayos X,Technological Sciences > Environmental technology and engineering
