spanish,english,context
abatir,fold down,Technological Sciences > Mechanical engineering and technology
abatir,revolve,Technological Sciences > Industrial technology
acción,share,Economic Sciences > Organization and management of enterprises
acción, stock,Economic Sciences > Organization and management of enterprises
acción,activity,Technological Sciences > Environmental technology and engineering
acción,action,Medical Sciences > Pharmacology
acción,action,Mathematics > Algebra
acción,action,Physics > Mechanics
acción,action,Technological Sciences > Construction technology
acción,action,Technological Sciences > Instrumentation technology
acción,share,Economic Sciences > General economics
acción, stock,Economic Sciences > General economics
acción,action,Physics > Electro-magnetism
acción preventiva,preventive measure,Technological Sciences > Environmental technology and engineering
acción preventiva,preventive action,Technological Sciences > Projects
aceptor de electrones,acceptor,Technological Sciences > Electronic technology
aceptor de electrones, electron acceptor,Technological Sciences > Electronic technology
aceptor de electrones,electron-acceptor,Chemistry > Organic chemistry
aceptor de electrones, electron-withdrawing,Chemistry > Organic chemistry
achaflanar,chamfer,Technological Sciences > Mechanical engineering and technology
achaflanar,bevel,Technological Sciences > Industrial technology
achaflanar, splay,Technological Sciences > Industrial technology
ácido acético,acetic acid,Chemistry > Physical chemistry
ácido acético,acetic acid,Technological Sciences > Environmental technology and engineering
ácido acético, CH<sub>3</sub>COOH,Technological Sciences > Environmental technology and engineering
ácido acético,acetid acid,Life sciences > Cell biology
ácido clorhídrico,chlorhydric acid,Medical Sciences > Pharmaceutical Technology
ácido clorhídrico,hydrochloric acid,Technological Sciences > Environmental technology and engineering
aclaramiento plasmático,plasma clearance,Medical Sciences > Pharmacology
aclaramiento plasmático,clearance,Life sciences > Human physiology
aclimatación,acclimatization,Technological Sciences > Environmental technology and engineering
aclimatación,acclimation,Life sciences > Animal Biology
acoplar,couple,Physics > Electro-magnetism
acoplar,connect,Technological Sciences > Electrical technology and engineering
acoplar,couple,Technological Sciences > Mechanical engineering and technology
acoplar, scarf,Technological Sciences > Mechanical engineering and technology
acotación,boundary,Mathematics > Analysis and functional analysis
acotación, bounding,Mathematics > Analysis and functional analysis
acotación,dimensioning,Technological Sciences > Industrial technology
acotación, drawing cotation,Technological Sciences > Industrial technology
acotar,bound,Mathematics > Analysis and functional analysis
acotar,dimension,Technological Sciences > Mechanical engineering and technology
acotar,show dimension,Technological Sciences > Industrial technology
acotar, show height,Technological Sciences > Industrial technology
actividad,activity,Life sciences > Animal Biology
actividad,activity,Chemistry > Physical chemistry
actividad,activity,Physics > General Physics specialities
actividad, decay rate,Physics > General Physics specialities
actividad,activity,Medical Sciences > Pharmaceutical Technology
actividad,activity,Medical Sciences > Pharmacology
actividad,activity,Medical Sciences > Medical diagnostic and Treatment Technology
actividad,activity,Chemistry > Analytical chemistry
actividad,activity,Physics > Thermodynamics
actividad,activity,Technological Sciences > Projects
actividad del agua,water activity,Technological Sciences > Food technology
actividad del agua,action of water,Technological Sciences > Environmental technology and engineering
actividad del agua, activity of water,Technological Sciences > Environmental technology and engineering
actividad del agua,water activity,Life sciences > Microbiology
activo fijo,fixed asset,Economic Sciences > Economic accounting
activo fijo, non-current asset,Economic Sciences > Economic accounting
activo fijo,capital asset,Economic Sciences > General economics
activo fijo, fixed asset,Economic Sciences > General economics
acumulación,accumulation,Technological Sciences > Environmental technology and engineering
acumulación, accumulation,Technological Sciences > Environmental technology and engineering
acumulación, piling,Technological Sciences > Environmental technology and engineering
acumulación,accumulation,Medical Sciences > Pharmacology
adaptación,adaptation,Technological Sciences > Environmental technology and engineering
adaptación,tailoring,Technological Sciences > Projects
adaptación,matching,Physics > Electro-magnetism
adaptación,matching,Technological Sciences > Telecommunications technology
adaptación,adaptation,Life sciences > Animal Biology
adelanto,lead,Technological Sciences > Projects
adelanto,advance,Economic Sciences > Organization and management of enterprises
adherencia,adhesion,Medical Sciences > Microbiology
adherencia,adhesion,Technological Sciences > Environmental technology and engineering
adherencia,closure,Mathematics > Topology
adición,addition,Life sciences > Animal Biology
adición, sum,Life sciences > Animal Biology
adición,addition,Physics > General Physics specialities
adición,addition,Mathematics > Analysis and functional analysis
adición, sum,Mathematics > Analysis and functional analysis
adición,addition,Physics > Electro-magnetism
adjudicación,allotment,Technological Sciences > Telecommunications technology
adjudicación,adjudication,Technological Sciences > Projects
adjudicación, award,Technological Sciences > Projects
