Term,Translation,Context
absorción,xurgapen,Medical Sciences > Pharmaceutical Technology
absorción,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
base,base,Medical Sciences > Pharmaceutical Technology
base,alkali; base,Technological Sciences > Environmental technology and engineering
calentamiento,berokuntza,Medical Sciences > Pharmaceutical Technology
calentamiento,beroketa; berotze,Technological Sciences > Environmental technology and engineering
carga,karga,Medical Sciences > Pharmaceutical Technology
carga,karga; zama,Technological Sciences > Environmental technology and engineering
caucho,kautxu,Medical Sciences > Pharmaceutical Technology
caucho,kautxo,Technological Sciences > Environmental technology and engineering
chorro,zorrotada,Medical Sciences > Pharmaceutical Technology
chorro,zurrusta,Technological Sciences > Environmental technology and engineering
cierre,itxitura,Medical Sciences > Pharmaceutical Technology
cierre,itxiera,Technological Sciences > Environmental technology and engineering
composición,konposizio,Medical Sciences > Pharmaceutical Technology
composición,konposizio; osaera,Technological Sciences > Environmental technology and engineering
conductividad,eroankortasun,Medical Sciences > Pharmaceutical Technology
conductividad,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
contacto,ukipen,Medical Sciences > Pharmaceutical Technology
contacto,kontaktu,Technological Sciences > Environmental technology and engineering
contaminación,kontaminazio; kutsadura,Medical Sciences > Pharmaceutical Technology
contaminación,kontaminazio; kutsadura; poluzio,Technological Sciences > Environmental technology and engineering
cristalización,kristalizazio,Medical Sciences > Pharmaceutical Technology
cristalización,kristaltze,Technological Sciences > Environmental technology and engineering
descomposición,deskonposizio,Medical Sciences > Pharmaceutical Technology
descomposición,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
desviación estándar,desbideratze estandar,Medical Sciences > Pharmaceutical Technology
desviación estándar,desbideratze estandar; desbideratze normal; dispertsio-koefiziente; sakabanatze-koefiziente,Technological Sciences > Environmental technology and engineering
difusión,difusio,Medical Sciences > Pharmaceutical Technology
difusión,barreiapen; difusio,Technological Sciences > Environmental technology and engineering
disolución,disoluzio,Medical Sciences > Pharmaceutical Technology
disolución,disoluzio; soluzio,Technological Sciences > Environmental technology and engineering
disolución tampón,disoluzio indargetzaile,Medical Sciences > Pharmaceutical Technology
disolución tampón,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
dispersión,dispertsio,Medical Sciences > Pharmaceutical Technology
dispersión,barreiadura; dispertsio; sakabanaketa; sakabanatze,Technological Sciences > Environmental technology and engineering
distribución normal,banaketa normal,Medical Sciences > Pharmaceutical Technology
distribución normal,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
efecto,efektu; eragin,Medical Sciences > Pharmaceutical Technology
efecto,efektu,Technological Sciences > Environmental technology and engineering
energía cinética,abiadura,Medical Sciences > Pharmaceutical Technology
energía cinética,energia zinetiko,Technological Sciences > Environmental technology and engineering
ensayo,saiakuntza,Medical Sciences > Pharmaceutical Technology
ensayo,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
estado sólido,solido egoera,Medical Sciences > Pharmaceutical Technology
estado sólido,egoera solido,Technological Sciences > Environmental technology and engineering
evaporación,lurrunketa,Medical Sciences > Pharmaceutical Technology
evaporación,ebaporazio; lurrunketa; lurruntze,Technological Sciences > Environmental technology and engineering
experimento,esperimentu,Medical Sciences > Pharmaceutical Technology
experimento,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
filtración,iragazketa,Medical Sciences > Pharmaceutical Technology
filtración,filtrazio; iragazketa; iragazpen,Technological Sciences > Environmental technology and engineering
fusión,urtze,Medical Sciences > Pharmaceutical Technology
fusión,fusio; urtze,Technological Sciences > Environmental technology and engineering
inspección,ikuskapen,Medical Sciences > Pharmaceutical Technology
inspección,ikuskaritza,Technological Sciences > Environmental technology and engineering
interacción,elkarrekintza,Medical Sciences > Pharmaceutical Technology
interacción,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
ligando,ligando,Medical Sciences > Pharmaceutical Technology
ligando,agente konplexatzaile; estekatzaile; konplexatzaile,Technological Sciences > Environmental technology and engineering
punto de ebullición,Irakite-puntu,Medical Sciences > Pharmaceutical Technology
punto de ebullición,irakite-puntu; irakite-tenperatura,Technological Sciences > Environmental technology and engineering
recubrimiento,estaldura; estalki; estaltze,Medical Sciences > Pharmaceutical Technology
recubrimiento,aldikako estaldura; estaldura; oinarriko estaldura,Technological Sciences > Environmental technology and engineering
reducción,murrizketa,Medical Sciences > Pharmaceutical Technology
reducción,erredukzio; murrizketa; murriztapen,Technological Sciences > Environmental technology and engineering
rendimiento,etekin,Medical Sciences > Pharmaceutical Technology
rendimiento,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
residuo,hondakin; hondar,Medical Sciences > Pharmaceutical Technology
residuo,errefus; hondakin; hondar,Technological Sciences > Environmental technology and engineering
rotación,biraketa,Medical Sciences > Pharmaceutical Technology
rotación,biraketa; errotazio,Technological Sciences > Environmental technology and engineering
saturación,asetasun,Medical Sciences > Pharmaceutical Technology
saturación,asetze; saturazio,Technological Sciences > Environmental technology and engineering
sedimento,sedimentu,Medical Sciences > Pharmaceutical Technology
sedimento,jalkin; sedimentu,Technological Sciences > Environmental technology and engineering
superficie,azal; azalera; gainazal,Medical Sciences > Pharmaceutical Technology
superficie,azalera; gainazal,Technological Sciences > Environmental technology and engineering
suspensión,esekidura,Medical Sciences > Pharmaceutical Technology
suspensión,esekidura; suspentsio,Technological Sciences > Environmental technology and engineering
tampón,indargetzaile,Medical Sciences > Pharmaceutical Technology
tampón,tanpoi,Technological Sciences > Environmental technology and engineering
temperatura de fusión,urtze-tenperatura,Medical Sciences > Pharmaceutical Technology
temperatura de fusión,fusio-tenperatura; urtze-tenperatura,Technological Sciences > Environmental technology and engineering
tolva,kalapatxa,Medical Sciences > Pharmaceutical Technology
tolva,elikadura-tobera,Technological Sciences > Environmental technology and engineering
torta,talo,Medical Sciences > Pharmaceutical Technology
torta,opil,Technological Sciences > Environmental technology and engineering
tubo,hodi; tutu,Medical Sciences > Pharmaceutical Technology
tubo,tutu; hodi,Technological Sciences > Environmental technology and engineering
