Term,Translation,Context
cadena montañosa,mountain range,Earth and Space Sciences > Geology
cadena montañosa,mountain chain,Technological Sciences > Environmental technology and engineering
cambio de fase,phase transition,Earth and Space Sciences > Geology
cambio de fase,phase change,Technological Sciences > Environmental technology and engineering
chimenea,conduit,Earth and Space Sciences > Geology
chimenea,chimney; neck; smokestack,Technological Sciences > Environmental technology and engineering
cordillera,cordillera,Earth and Space Sciences > Geology
cordillera,mountain chain,Technological Sciences > Environmental technology and engineering
corriente de convección,convective flow,Earth and Space Sciences > Geology
corriente de convección,convection current,Technological Sciences > Environmental technology and engineering
depósito,deposition; deposit,Earth and Space Sciences > Geology
depósito,chamber; storage tank; storehouse,Technological Sciences > Environmental technology and engineering
discontinuidad,disontinuity,Earth and Space Sciences > Geology
discontinuidad,discontinuity,Technological Sciences > Environmental technology and engineering
estratificación,bedding,Earth and Space Sciences > Geology
estratificación,stratification,Technological Sciences > Environmental technology and engineering
estructura cristalina,crystal structure,Earth and Space Sciences > Geology
estructura cristalina,crystalline structure,Technological Sciences > Environmental technology and engineering
fábrica,fabric,Earth and Space Sciences > Geology
fábrica,factory,Technological Sciences > Environmental technology and engineering
fosa tectónica,tectonic trench,Earth and Space Sciences > Geology
fosa tectónica,fault trough,Technological Sciences > Environmental technology and engineering
glaciación,glaciation; ice period,Earth and Space Sciences > Geology
glaciación,glacial age; ice age,Technological Sciences > Environmental technology and engineering
hendidura,cleft,Earth and Space Sciences > Geology
hendidura,crack; fissure,Technological Sciences > Environmental technology and engineering
hipocentro,hypocenter; seismic focus,Earth and Space Sciences > Geology
hipocentro,focus; hypocentre,Technological Sciences > Environmental technology and engineering
muro,bottom,Earth and Space Sciences > Geology
muro,wall,Technological Sciences > Environmental technology and engineering
núcleo,core,Earth and Space Sciences > Geology
núcleo,nucleus,Technological Sciences > Environmental technology and engineering
onda interna,body wave,Earth and Space Sciences > Geology
onda interna,internal wave,Technological Sciences > Environmental technology and engineering
periodo glacial,glaciation; ice period,Earth and Space Sciences > Geology
periodo glacial,glacial age; ice age,Technological Sciences > Environmental technology and engineering
polaridad,polaruty,Earth and Space Sciences > Geology
polaridad,polarity,Technological Sciences > Environmental technology and engineering
serie,serie; succession,Earth and Space Sciences > Geology
serie,series,Technological Sciences > Environmental technology and engineering
sondeo,borehole; well,Earth and Space Sciences > Geology
sondeo,sounding,Technological Sciences > Environmental technology and engineering
techo,top,Earth and Space Sciences > Geology
techo,ceiling,Technological Sciences > Environmental technology and engineering
