spanish,basque,context
abdomen,abdomen,Life sciences > Human physiology
abdomen,sabel,Medical Sciences > Pharmacology
abdomen,abdomen,Life sciences > Animal Biology
abogado,abogatu,Juridical Sciences & Law > Roman law
abogado,abokatu,Juridical Sciences & Law > Procedural law
abono,ordainketa,Juridical Sciences & Law > Labour and Social Security law
abono,ongarri,Technological Sciences > Environmental technology and engineering
abono,abonu,Economic Sciences > Economic accounting
abrasión,abrasio,Medical Sciences > Pathology
abrasión,urradura,Technological Sciences > Environmental technology and engineering
absorción,xurgapen,Juridical Sciences & Law > Finance law
absorción,xurgapen,Economic Sciences > Economic accounting
absorción,xurgapen,Economic Sciences > Organization and management of enterprises
absorción, xurgatze prozesu,Economic Sciences > Organization and management of enterprises
absorción,xurgapen,Physics > Theoretical physics
absorción,xurgapen,Physics > General Physics specialities
absorción,xurgapen,Medical Sciences > Pharmaceutical Technology
absorción,absortzio,Technological Sciences > Chemical technology and engineering
absorción,xurgapen,Medical Sciences > Medical diagnostic and Treatment Technology
absorción,xurgapen,Medical Sciences > Pharmacology
absorción,absortzio,Physics > Electro-magnetism
absorción, xurgapen,Physics > Electro-magnetism
absorción,absortzio,Chemistry > Analytical chemistry
absorción, xurgapen,Chemistry > Analytical chemistry
absorción,absortzio,Life sciences > Biochemistry and Molecular Biology
absorción,absortzio,Technological Sciences > Environmental technology and engineering
absorción, xurgapen,Technological Sciences > Environmental technology and engineering
absorción,xurgapen,Life sciences > Animal Biology
absorción,absortzio,Chemistry > Physical chemistry
absorción,xurgapen,Technological Sciences > Food technology
absorción,xurgapen,Life sciences > Microbiology
absorción,xurgapen,Life sciences > Human physiology
absorción,xurgapen,Technological Sciences > Telecommunications technology
absorción oral,aho bidetiko xurgapen,Medical Sciences > Pharmacology
absorción oral,ahotiko absortzio,Chemistry > Organic chemistry
absorción oral, ahotiko xurgapen,Chemistry > Organic chemistry
acceso,atzipen,Technological Sciences > Computer technology
acceso,sarbide,Education sciences
acceso,sarbide,Technological Sciences > Instrumentation technology
acceso,atzipen,Technological Sciences > Telecommunications technology
acceso, sarbide,Technological Sciences > Telecommunications technology
acción,akzio,Economic Sciences > Organization and management of enterprises
acción,jarduera,Technological Sciences > Environmental technology and engineering
acción,ekintza,Medical Sciences > Pharmacology
acción,ekintza,Mathematics > Algebra
acción,akzio,Economic Sciences > Economic accounting
acción,egintza,Juridical Sciences & Law > Labour and Social Security law
acción,akzio,Juridical Sciences & Law > Roman law
acción,akzio,Physics > Mechanics
acción,akzio,Technological Sciences > Construction technology
acción,akzio,Technological Sciences > Instrumentation technology
acción,akzio,Economic Sciences > General economics
acción, stock,Economic Sciences > General economics
acción,akzio,Juridical Sciences & Law > Commercial law
acción,akzio,Physics > Electro-magnetism
acción, ekintza,Physics > Electro-magnetism
acción,egitate,Juridical Sciences & Law > Constitutional law
acción correctiva,ekimen zuzentzaile,Medical Sciences > Nutritional sciences
acción correctiva,ekintza zuzentzaile,Technological Sciences > Projects
acción preventiva,ekintza prebentibo,Technological Sciences > Environmental technology and engineering
acción preventiva, neurri prebentibo,Technological Sciences > Environmental technology and engineering
acción preventiva,prebentzio-ekintza,Technological Sciences > Projects
aceptar,onartu,Juridical Sciences & Law > Procedural law
aceptar,baietsi,Juridical Sciences & Law > Law Philosophy
ácido fuerte,azido sendo,Chemistry > Analytical chemistry
ácido fuerte,azido indartsu,Life sciences > Biochemistry and Molecular Biology
ácido fuerte,azido indartsu,Technological Sciences > Environmental technology and engineering
ácido fuerte, azido sendo,Technological Sciences > Environmental technology and engineering
ácido fuerte,azido sendo,Chemistry > Physical chemistry
ácido pirúvico,azido pirubiko,Life sciences > Biochemistry and Molecular Biology
ácido pirúvico,pirubato,Life sciences > Cell biology
aclaramiento plasmático,plasma-garbiketa,Medical Sciences > Pharmacology
aclaramiento plasmático,argitze plasmatiko,Life sciences > Human physiology
acoplamiento,akoplamendu,Physics > Electro-magnetism
acoplamiento,akoplamendu,Technological Sciences > Telecommunications technology
acoplamiento,mihiztadura,Physics > Theoretical physics
acotación,bornaketa,Mathematics > Analysis and functional analysis
acotación, bornapen,Mathematics > Analysis and functional analysis
acotación,akotazio,Technological Sciences > Industrial technology
acotación, kotatze,Technological Sciences > Industrial technology
acotar,bornatu,Mathematics > Analysis and functional analysis
acotar, mugatu,Mathematics > Analysis and functional analysis
acotar,kotatu,Technological Sciences > Mechanical engineering and technology
acotar,kotak ezarri,Technological Sciences > Industrial technology
acotar, kotatu,Technological Sciences > Industrial technology
acreedor comercial,hartzekodun komertzial,Economic Sciences > Organization and management of enterprises
acreedor comercial,merkataritza-hartzekodun,Economic Sciences > Economic accounting
acta de constitución,eraketa-akta,Juridical Sciences & Law > Civil law
acta de constitución,eratze-akta,Technological Sciences > Projects
actividad,jarduera,Life sciences > Animal Biology
actividad,aktibitate,Chemistry > Physical chemistry
actividad,ekitaldi,Juridical Sciences & Law > Labour and Social Security law
actividad, jarduera,Juridical Sciences & Law > Labour and Social Security law
actividad,jarduera,Juridical Sciences & Law > Administrative law
actividad,aktibitate,Physics > General Physics specialities
actividad,aktibitate,Medical Sciences > Pharmaceutical Technology
actividad,aktibitate,Medical Sciences > Pharmacology
actividad,aktibitate,Medical Sciences > Medical diagnostic and Treatment Technology
actividad,aktibitate,Chemistry > Analytical chemistry
actividad,jarduera,Education sciences
actividad,jarduera,Juridical Sciences & Law > Constitutional law
actividad,aktibitate,Physics > Thermodynamics
actividad,jarduera,Economic Sciences > Economic accounting
actividad,jarduera,Technological Sciences > Projects
actividad del agua,ur-jarduera,Technological Sciences > Food technology
actividad del agua,ur-ekintza,Technological Sciences > Environmental technology and engineering
actividad del agua,ur-jarduera,Life sciences > Microbiology
actividad financiera,finantza-jarduera,Economic Sciences > Economic accounting
actividad financiera, jarduera finantzario,Economic Sciences > Economic accounting
actividad financiera,finantzaketa-jarduera,Economic Sciences > Financial Accounting
actividad financiera,finantza-jarduera,Juridical Sciences & Law > Finance law
actividad inspectora,ikuskatze-jarduera,Juridical Sciences & Law > Administrative law
actividad inspectora,ikuskapen-jarduera,Juridical Sciences & Law > Finance law
