Term,Translation,Context
balanza,escales; scale,Physics > General Physics specialities
balanza,balance; weighing scale,Technological Sciences > Environmental technology and engineering
base,basis,Physics > General Physics specialities
base,alkali; base,Technological Sciences > Environmental technology and engineering
cambio de fase,phase transition,Physics > General Physics specialities
cambio de fase,phase change,Technological Sciences > Environmental technology and engineering
capa interna,inner shell,Physics > General Physics specialities
capa interna,inner layer,Technological Sciences > Environmental technology and engineering
carga eléctrica,electric charge,Physics > General Physics specialities
carga eléctrica,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
caudal,flow rate,Physics > General Physics specialities
caudal,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
condensador,capacitor,Physics > General Physics specialities
condensador,condenser,Technological Sciences > Environmental technology and engineering
desarrollo,expansion,Physics > General Physics specialities
desarrollo,development,Technological Sciences > Environmental technology and engineering
desfase,phase difference,Physics > General Physics specialities
desfase,phase shift,Technological Sciences > Environmental technology and engineering
emisión,emission,Physics > General Physics specialities
emisión,discharge; dump; dumping; emission; release,Technological Sciences > Environmental technology and engineering
energía de enlace,bond energy,Physics > General Physics specialities
energía de enlace,binding energy,Technological Sciences > Environmental technology and engineering
estado estacionario,steady state,Physics > General Physics specialities
estado estacionario,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
estructura cristalina,crystal structure,Physics > General Physics specialities
estructura cristalina,crystalline structure,Technological Sciences > Environmental technology and engineering
flujo,flow,Physics > General Physics specialities
flujo,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
fuerza de atracción,attraction force; attractive force,Physics > General Physics specialities
fuerza de atracción,attractive force; force of attraction,Technological Sciences > Environmental technology and engineering
fuerza de rozamiento,force of friction,Physics > General Physics specialities
fuerza de rozamiento,friction force; friction forces,Technological Sciences > Environmental technology and engineering
fuerza resultante,net force,Physics > General Physics specialities
fuerza resultante,resultant force,Technological Sciences > Environmental technology and engineering
gravedad,gravity,Physics > General Physics specialities
gravedad,gravitational force; gravitatory force; gravity,Technological Sciences > Environmental technology and engineering
magnitud,quantity,Physics > General Physics specialities
magnitud,impact magnitude; magnitude,Technological Sciences > Environmental technology and engineering
magnitud derivada,derived quantity,Physics > General Physics specialities
magnitud derivada,derived magnitude,Technological Sciences > Environmental technology and engineering
medición,measuring,Physics > General Physics specialities
medición,measure,Technological Sciences > Environmental technology and engineering
medida,measuring; measurement,Physics > General Physics specialities
medida,measure,Technological Sciences > Environmental technology and engineering
movimiento oscilatorio,oscillating motion,Physics > General Physics specialities
movimiento oscilatorio,oscillatory movement,Technological Sciences > Environmental technology and engineering
partícula elemental,elementary particle,Physics > General Physics specialities
partícula elemental,primary particle,Technological Sciences > Environmental technology and engineering
ponderación,weight,Physics > General Physics specialities
ponderación,pondering; weighting,Technological Sciences > Environmental technology and engineering
presión de vapor,vapor pressure,Physics > General Physics specialities
presión de vapor,vapour pressure,Technological Sciences > Environmental technology and engineering
prueba,test,Physics > General Physics specialities
prueba,experiment; test; trial; proof,Technological Sciences > Environmental technology and engineering
receptor,receiver,Physics > General Physics specialities
receptor,receiver; receptor,Technological Sciences > Environmental technology and engineering
remolino,whirlpool,Physics > General Physics specialities
remolino,vortex,Technological Sciences > Environmental technology and engineering
resistencia,resistor; resistance,Physics > General Physics specialities
resistencia,resistance,Technological Sciences > Environmental technology and engineering
sistema internacional de unidades,international system of units,Physics > General Physics specialities
sistema internacional de unidades,International system of units,Technological Sciences > Environmental technology and engineering
sucesión,sequence,Physics > General Physics specialities
sucesión,succession,Technological Sciences > Environmental technology and engineering
transparencia,transparency,Physics > General Physics specialities
transparencia,clarity; transparency,Technological Sciences > Environmental technology and engineering
velocidad,speed; velocity,Physics > General Physics specialities
velocidad,rate; speed; velocity,Technological Sciences > Environmental technology and engineering
