Term,Translation,Context
activity,actividad,Chemistry > Analytical chemistry
activity,acción,Technological Sciences > Environmental technology and engineering
boiling point,punto de ebullición,Chemistry > Analytical chemistry
boiling point,punto de ebullición; temperatura de ebullición,Technological Sciences > Environmental technology and engineering
buffer,tampón,Chemistry > Analytical chemistry
buffer,amortiguador; tampón,Technological Sciences > Environmental technology and engineering
buffer solution,disolución amortiguadora; disolución tampón,Chemistry > Analytical chemistry
buffer solution,disolución tampón,Technological Sciences > Environmental technology and engineering
efficiency,eficacia,Chemistry > Analytical chemistry
efficiency,eficiencia; rendimiento,Technological Sciences > Environmental technology and engineering
exchange,intercambio,Chemistry > Analytical chemistry
exchange,intercambiar,Technological Sciences > Environmental technology and engineering
flow,flujo,Chemistry > Analytical chemistry
flow,caudal; flujo; gasto,Technological Sciences > Environmental technology and engineering
fresh water,agua natural,Chemistry > Analytical chemistry
fresh water,agua dulce,Technological Sciences > Environmental technology and engineering
Gaussian distribution,forma gaussiana,Chemistry > Analytical chemistry
Gaussian distribution,distribución de Gauss; distribución gaussiana; distribución normal,Technological Sciences > Environmental technology and engineering
ion,ion,Chemistry > Analytical chemistry
ion,ión,Technological Sciences > Environmental technology and engineering
leaching,extracción,Chemistry > Analytical chemistry
leaching,lixiviación,Technological Sciences > Environmental technology and engineering
mass balance,balance de masas,Chemistry > Analytical chemistry
mass balance,balance de masa; balance de materia,Technological Sciences > Environmental technology and engineering
mass transfer,transferencia de masa; transferencia de masas,Chemistry > Analytical chemistry
mass transfer,transferencia de masa; transferencia de materia,Technological Sciences > Environmental technology and engineering
molecular weight,masa molecular,Chemistry > Analytical chemistry
molecular weight,masa molecular; peso molecular,Technological Sciences > Environmental technology and engineering
packed column,columna empaquetada,Chemistry > Analytical chemistry
packed column,columna de relleno; columna empacada; torre de relleno; torre empacada,Technological Sciences > Environmental technology and engineering
packing,empaquetamiento,Chemistry > Analytical chemistry
packing,relleno,Technological Sciences > Environmental technology and engineering
phase,fase,Chemistry > Analytical chemistry
phase,agitador rotatorio; fase,Technological Sciences > Environmental technology and engineering
process,proceso,Chemistry > Analytical chemistry
process,procesar; proceso,Technological Sciences > Environmental technology and engineering
redox potential,potencial de reducción,Chemistry > Analytical chemistry
redox potential,potencial redox,Technological Sciences > Environmental technology and engineering
redox reaction,reacción redox,Chemistry > Analytical chemistry
redox reaction,reacción de oxidación-reducción; reacción redox,Technological Sciences > Environmental technology and engineering
sea water,agua de mar,Chemistry > Analytical chemistry
sea water,agua marina,Technological Sciences > Environmental technology and engineering
source,fuente,Chemistry > Analytical chemistry
source,emisor; fuente,Technological Sciences > Environmental technology and engineering
standard deviation,desviación estándar,Chemistry > Analytical chemistry
standard deviation,coeficiente de dispersión; desviación estándar; desviación normal,Technological Sciences > Environmental technology and engineering
stationary phase,fase estacionaria,Chemistry > Analytical chemistry
stationary phase,fase estacionaria; estado estacionario; situación estable,Technological Sciences > Environmental technology and engineering
water solution,disolución acuosa,Chemistry > Analytical chemistry
water solution,disolución acuosa; disolución en agua; solución acuosa,Technological Sciences > Environmental technology and engineering
wave,onda,Chemistry > Analytical chemistry
wave,ola; onda,Technological Sciences > Environmental technology and engineering
